     28691:	symbol=_res;  lookup in file=a.out [0]
     28691:	symbol=_res;  lookup in file=./libFoo.so [0]
     28691:	symbol=_res;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=_res;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=_res;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=_res;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=_IO_file_close;  lookup in file=a.out [0]
     28691:	symbol=_IO_file_close;  lookup in file=./libFoo.so [0]
     28691:	symbol=_IO_file_close;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=_IO_file_close;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=_IO_file_close;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=_IO_file_close;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=rpc_createerr;  lookup in file=a.out [0]
     28691:	symbol=rpc_createerr;  lookup in file=./libFoo.so [0]
     28691:	symbol=rpc_createerr;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=rpc_createerr;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=rpc_createerr;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=rpc_createerr;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=__key_gendes_LOCAL;  lookup in file=a.out [0]
     28691:	symbol=__key_gendes_LOCAL;  lookup in file=./libFoo.so [0]
     28691:	symbol=__key_gendes_LOCAL;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=__key_gendes_LOCAL;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=__key_gendes_LOCAL;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=__key_gendes_LOCAL;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=__ctype_toupper;  lookup in file=a.out [0]
     28691:	symbol=__ctype_toupper;  lookup in file=./libFoo.so [0]
     28691:	symbol=__ctype_toupper;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=__ctype_toupper;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=__ctype_toupper;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=__ctype_toupper;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=loc1;  lookup in file=a.out [0]
     28691:	symbol=loc1;  lookup in file=./libFoo.so [0]
     28691:	symbol=loc1;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=loc1;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=loc1;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=loc1;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=svc_pollfd;  lookup in file=a.out [0]
     28691:	symbol=svc_pollfd;  lookup in file=./libFoo.so [0]
     28691:	symbol=svc_pollfd;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=svc_pollfd;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=svc_pollfd;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=svc_pollfd;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=_IO_funlockfile;  lookup in file=a.out [0]
     28691:	symbol=_IO_funlockfile;  lookup in file=./libFoo.so [0]
     28691:	symbol=_IO_funlockfile;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=_IO_funlockfile;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=_IO_funlockfile;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=_IO_funlockfile;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=__malloc_initialize_hook;  lookup in file=a.out [0]
     28691:	symbol=__malloc_initialize_hook;  lookup in file=./libFoo.so [0]
     28691:	symbol=__malloc_initialize_hook;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=__malloc_initialize_hook;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=__malloc_initialize_hook;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=__malloc_initialize_hook;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=argp_program_version;  lookup in file=a.out [0]
     28691:	symbol=argp_program_version;  lookup in file=./libFoo.so [0]
     28691:	symbol=argp_program_version;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=argp_program_version;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=argp_program_version;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=argp_program_version;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=__tzname;  lookup in file=a.out [0]
     28691:	symbol=__tzname;  lookup in file=./libFoo.so [0]
     28691:	symbol=__tzname;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=__tzname;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=__tzname;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=__tzname;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=__after_morecore_hook;  lookup in file=a.out [0]
     28691:	symbol=__after_morecore_hook;  lookup in file=./libFoo.so [0]
     28691:	symbol=__after_morecore_hook;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=__after_morecore_hook;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=__after_morecore_hook;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=__after_morecore_hook;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=__progname;  lookup in file=a.out [0]
     28691:	symbol=__progname;  lookup in file=./libFoo.so [0]
     28691:	symbol=__progname;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=__progname;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=__progname;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=__progname;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=obstack_exit_failure;  lookup in file=a.out [0]
     28691:	symbol=obstack_exit_failure;  lookup in file=./libFoo.so [0]
     28691:	symbol=obstack_exit_failure;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=obstack_exit_failure;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=obstack_exit_failure;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=obstack_exit_failure;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=__ctype32_tolower;  lookup in file=a.out [0]
     28691:	symbol=__ctype32_tolower;  lookup in file=./libFoo.so [0]
     28691:	symbol=__ctype32_tolower;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=__ctype32_tolower;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=__ctype32_tolower;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=__ctype32_tolower;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=__check_rhosts_file;  lookup in file=a.out [0]
     28691:	symbol=__check_rhosts_file;  lookup in file=./libFoo.so [0]
     28691:	symbol=__check_rhosts_file;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=__check_rhosts_file;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=__check_rhosts_file;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=__check_rhosts_file;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=program_invocation_short_name;  lookup in file=a.out [0]
     28691:	symbol=program_invocation_short_name;  lookup in file=./libFoo.so [0]
     28691:	symbol=program_invocation_short_name;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=program_invocation_short_name;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=program_invocation_short_name;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=program_invocation_short_name;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=optopt;  lookup in file=a.out [0]
     28691:	symbol=optopt;  lookup in file=./libFoo.so [0]
     28691:	symbol=optopt;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=optopt;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=optopt;  lookup in file=/lib64/libgcc_s.so.1 [0]
